GM1,GM2,GM3,GM4,GM7,GM8,GM9,GM10,GM11
-1.77E-06,-3.57E-02,3.75E-05,3.58E-05,3.41E-03,-5.77E-04,7.69E-02,-7.55E-03,1.40E-03
-1.76E-06,-5.92E-02,4.76E-05,3.20E-05,7.45E-03,-7.16E-04,8.78E-02,-3.31E-02,1.42E-03
-1.74E-06,-7.99E-02,5.23E-05,3.81E-05,3.03E-04,-8.13E-04,8.28E-02,-5.32E-02,1.42E-03
-1.72E-06,-9.60E-02,5.25E-05,4.50E-05,-4.75E-03,-8.33E-04,6.16E-02,1.17E-02,1.40E-03
-1.70E-06,-1.06E-01,4.74E-05,4.59E-05,-7.71E-05,-7.94E-04,4.16E-02,6.47E-02,1.36E-03
-1.69E-06,-1.08E-01,3.91E-05,4.26E-05,4.10E-03,-7.45E-04,1.41E-02,4.33E-02,1.31E-03
-1.70E-06,-1.04E-01,3.18E-05,3.81E-05,3.58E-03,-7.08E-04,-1.88E-02,-5.56E-02,1.26E-03
-1.76E-06,-9.22E-02,3.20E-05,4.06E-05,7.85E-05,-6.78E-04,-2.41E-02,5.44E-02,1.21E-03
-1.85E-06,-7.49E-02,4.21E-05,4.47E-05,-3.32E-03,-6.41E-04,-1.04E-02,2.15E-02,1.15E-03
-1.93E-06,-5.31E-02,5.67E-05,4.13E-05,-2.12E-03,-5.74E-04,-6.63E-05,-1.35E-02,1.08E-03
-2.00E-06,-2.85E-02,7.24E-05,4.36E-05,1.92E-03,-4.63E-04,1.74E-02,-5.47E-02,1.01E-03
-2.03E-06,-2.83E-03,8.75E-05,5.24E-05,6.35E-03,-3.14E-04,5.02E-02,1.45E-03,9.41E-04
-2.04E-06,2.22E-02,9.94E-05,4.65E-05,5.98E-03,-8.59E-05,8.36E-02,-3.93E-02,8.80E-04
-2.06E-06,4.53E-02,1.06E-04,3.59E-05,3.36E-03,2.41E-04,8.37E-02,-2.29E-02,8.18E-04
-2.05E-06,6.51E-02,1.05E-04,4.09E-05,-5.49E-05,5.75E-04,4.85E-02,9.83E-02,7.45E-04
-2.03E-06,8.04E-02,1.00E-04,5.12E-05,-1.65E-03,8.25E-04,7.22E-03,-3.46E-02,6.43E-04
-1.99E-06,9.04E-02,9.57E-05,5.12E-05,-3.69E-03,9.87E-04,-3.55E-02,4.99E-02,5.07E-04
-1.96E-06,9.46E-02,8.87E-05,4.04E-05,-2.79E-03,1.08E-03,-7.74E-02,-1.14E-02,3.52E-04
-1.97E-06,9.25E-02,7.69E-05,3.78E-05,9.60E-04,1.11E-03,-1.14E-01,-5.00E-02,2.04E-04
-1.99E-06,8.38E-02,6.05E-05,5.35E-05,5.88E-03,1.08E-03,-1.35E-01,-9.74E-04,8.48E-05
-2.00E-06,6.91E-02,3.53E-05,5.93E-05,3.63E-03,1.05E-03,-1.24E-01,2.77E-02,1.29E-05
-1.98E-06,4.91E-02,-1.95E-06,4.43E-05,4.36E-03,1.08E-03,-9.65E-02,-2.36E-02,-1.54E-05
-1.93E-06,2.55E-02,-4.94E-05,3.52E-05,-5.48E-04,1.15E-03,-5.01E-02,4.59E-03,-2.72E-05
-1.85E-06,3.11E-04,-9.79E-05,4.57E-05,-1.29E-04,1.13E-03,7.50E-03,6.47E-02,-5.02E-05
-1.79E-06,-2.38E-02,-1.38E-04,5.75E-05,5.66E-03,9.85E-04,3.38E-02,-1.20E-01,-9.05E-05
-1.75E-06,-4.47E-02,-1.68E-04,5.53E-05,1.46E-03,7.64E-04,3.82E-02,-4.44E-02,-1.30E-04
